"","Brent","S&P 500","Gold","VIX","USD EUR","Bond"
"mean",-0.000228082214150303,-0.000123456509216362,-0.000332209123751384,0.000104044453178946,3.92005121010237e-05,0.000159786323414699
"standard.dev",0.0217333462136944,0.0117760712115362,0.0110633981126544,0.0668356623434421,0.00628576574396471,0.0196716793726372
"skewness",0.146153315321288,0.194471340589068,0.224945220245427,-0.933073802684983,0.0384043418893041,0.0641488321970683
"kurtosis",5.96712905969202,12.3504584312208,9.15858853513982,10.740689541421,4.47925386375629,6.69708291846342
